Code Tâche;Famille Code;Famille;Commentaire / Type d’équipe;Catégorie Code;Catégorie;Sous-catégorie Code;Sous-catégorie;Nom de la tâche;Description détaillée;Unité;Rendement (h/Unité) - estimatif;Contrôles Qualité (résumé);Normes / Références
FT01/CT01/SC03/T04;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC03;Raccordements provisoires;Mise en place / Pose – Raccordements provisoires;Exécuter la mise en œuvre conformément aux normes DTU/RE 2020.;lot;2,2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC03/T05;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC03;Raccordements provisoires;Fixations / Assemblages – Raccordements provisoires;Réaliser ancrages, vissage, scellements, contrôles de couple/adhérence.;lot;1,8;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC03/T06;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC03;Raccordements provisoires;Raccordements – Raccordements provisoires;Effectuer raccordements fonctionnels et étanches (fluides/élec/air).;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC03/T07;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC03;Raccordements provisoires;Traitements & protections – Raccordements provisoires;Appliquer traitements (anticorrosion/étanchéité/feu) et protections provisoires.;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC03/T08;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC03;Raccordements provisoires;Contrôles qualité – Raccordements provisoires;Vérifier conformité visuelle et dimensionnelle, PV de contrôle et photos.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC03/T09;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC03;Raccordements provisoires;Nettoyage & déblais – Raccordements provisoires;Évacuer chutes, nettoyer zone, trier déchets selon filières agréées.;lot;2,2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC03/T10;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC03;Raccordements provisoires;Mises en service / Essais – Raccordements provisoires;Procéder aux essais, réglages et mise en service avec PV.;lot;1,8;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC04/T01;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC04;Signalétique / sécurité;Études & préparation – Signalétique / sécurité;Analyser plans et CCTP, repérer interfaces et contraintes, établir mode opératoire.;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC04/T02;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC04;Signalétique / sécurité;Traçage & implantation – Signalétique / sécurité;Tracer axes, niveaux et réservations, contrôler tolérances (laser, niveau).;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC04/T03;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC04;Signalétique / sécurité;Approvisionnement & stockage – Signalétique / sécurité;Planifier, réceptionner et stocker matériaux selon fiches techniques.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC04/T04;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC04;Signalétique / sécurité;Mise en place / Pose – Signalétique / sécurité;Exécuter la mise en œuvre conformément aux normes DTU/RE 2020.;lot;2,2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC04/T05;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC04;Signalétique / sécurité;Fixations / Assemblages – Signalétique / sécurité;Réaliser ancrages, vissage, scellements, contrôles de couple/adhérence.;lot;1,8;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC04/T06;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC04;Signalétique / sécurité;Raccordements – Signalétique / sécurité;Effectuer raccordements fonctionnels et étanches (fluides/élec/air).;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC05/T01;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC05;Bureau chantier / stockage;Études & préparation – Bureau chantier / stockage;Analyser plans et CCTP, repérer interfaces et contraintes, établir mode opératoire.;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC05/T02;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC05;Bureau chantier / stockage;Traçage & implantation – Bureau chantier / stockage;Tracer axes, niveaux et réservations, contrôler tolérances (laser, niveau).;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC05/T03;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC05;Bureau chantier / stockage;Approvisionnement & stockage – Bureau chantier / stockage;Planifier, réceptionner et stocker matériaux selon fiches techniques.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC05/T04;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC05;Bureau chantier / stockage;Mise en place / Pose – Bureau chantier / stockage;Exécuter la mise en œuvre conformément aux normes DTU/RE 2020.;lot;2,2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC05/T05;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC05;Bureau chantier / stockage;Fixations / Assemblages – Bureau chantier / stockage;Réaliser ancrages, vissage, scellements, contrôles de couple/adhérence.;lot;1,8;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC05/T06;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC05;Bureau chantier / stockage;Raccordements – Bureau chantier / stockage;Effectuer raccordements fonctionnels et étanches (fluides/élec/air).;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC05/T07;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC05;Bureau chantier / stockage;Traitements & protections – Bureau chantier / stockage;Appliquer traitements (anticorrosion/étanchéité/feu) et protections provisoires.;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC05/T08;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC05;Bureau chantier / stockage;Contrôles qualité – Bureau chantier / stockage;Vérifier conformité visuelle et dimensionnelle, PV de contrôle et photos.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T01;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Études & préparation – ;Analyser plans et CCTP, repérer interfaces et contraintes, établir mode opératoire.;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T02;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Traçage & implantation – ;Tracer axes, niveaux et réservations, contrôler tolérances (laser, niveau).;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T03;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Approvisionnement & stockage – ;Planifier, réceptionner et stocker matériaux selon fiches techniques.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T04;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Mise en place / Pose – ;Exécuter la mise en œuvre conformément aux normes DTU/RE 2020.;lot;2,2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T05;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Fixations / Assemblages – ;Réaliser ancrages, vissage, scellements, contrôles de couple/adhérence.;lot;1,8;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T06;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Raccordements – ;Effectuer raccordements fonctionnels et étanches (fluides/élec/air).;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T07;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Traitements & protections – ;Appliquer traitements (anticorrosion/étanchéité/feu) et protections provisoires.;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T08;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Contrôles qualité – ;Vérifier conformité visuelle et dimensionnelle, PV de contrôle et photos.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T09;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Nettoyage & déblais – ;Évacuer chutes, nettoyer zone, trier déchets selon filières agréées.;lot;2,2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T10;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Mises en service / Essais – ;Procéder aux essais, réglages et mise en service avec PV.;lot;1,8;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T11;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Finitions – ;Réaliser finitions, joints et retouches pour conformité esthétique.;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T12;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Réception interne – ;Effectuer auto-contrôle, corriger non-conformités, préparer DOE.;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T13;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Études & préparation – ;Analyser plans et CCTP, repérer interfaces et contraintes, établir mode opératoire.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T14;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Traçage & implantation – ;Tracer axes, niveaux et réservations, contrôler tolérances (laser, niveau).;lot;2,2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T15;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Approvisionnement & stockage – ;Planifier, réceptionner et stocker matériaux selon fiches techniques.;lot;1,8;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T16;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Mise en place / Pose – ;Exécuter la mise en œuvre conformément aux normes DTU/RE 2020.;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T17;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Fixations / Assemblages – ;Réaliser ancrages, vissage, scellements, contrôles de couple/adhérence.;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T18;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Raccordements – ;Effectuer raccordements fonctionnels et étanches (fluides/élec/air).;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT01/SC06/T19;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT01;Installation de chantier;FT01/CT01/SC06;Installation des Réseaux Fluides Provisoires;Traitements & protections – ;Appliquer traitements (anticorrosion/étanchéité/feu) et protections provisoires.;lot;2,2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC01/T01;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC01;Planning / pointage;Études & préparation – Planning / pointage;Analyser plans et CCTP, repérer interfaces et contraintes, établir mode opératoire.;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC01/T02;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC01;Planning / pointage;Traçage & implantation – Planning / pointage;Tracer axes, niveaux et réservations, contrôler tolérances (laser, niveau).;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC01/T03;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC01;Planning / pointage;Approvisionnement & stockage – Planning / pointage;Planifier, réceptionner et stocker matériaux selon fiches techniques.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC01/T04;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC01;Planning / pointage;Mise en place / Pose – Planning / pointage;Exécuter la mise en œuvre conformément aux normes DTU/RE 2020.;lot;2,2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC01/T05;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC01;Planning / pointage;Fixations / Assemblages – Planning / pointage;Réaliser ancrages, vissage, scellements, contrôles de couple/adhérence.;lot;1,8;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC01/T06;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC01;Planning / pointage;Raccordements – Planning / pointage;Effectuer raccordements fonctionnels et étanches (fluides/élec/air).;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC02/T01;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC02;Réunions / visas / DOE;Études & préparation – Réunions / visas / DOE;Analyser plans et CCTP, repérer interfaces et contraintes, établir mode opératoire.;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC02/T02;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC02;Réunions / visas / DOE;Traçage & implantation – Réunions / visas / DOE;Tracer axes, niveaux et réservations, contrôler tolérances (laser, niveau).;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC02/T03;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC02;Réunions / visas / DOE;Approvisionnement & stockage – Réunions / visas / DOE;Planifier, réceptionner et stocker matériaux selon fiches techniques.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC02/T04;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC02;Réunions / visas / DOE;Mise en place / Pose – Réunions / visas / DOE;Exécuter la mise en œuvre conformément aux normes DTU/RE 2020.;lot;2,2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC03/T01;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC03;Suivi de l'Avancement et Reporting;Études & préparation – ;Analyser plans et CCTP, repérer interfaces et contraintes, établir mode opératoire.;lot;1,9;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC03/T02;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC03;Suivi de l'Avancement et Reporting;Traçage & implantation – ;Tracer axes, niveaux et réservations, contrôler tolérances (laser, niveau).;lot;2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC03/T03;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC03;Suivi de l'Avancement et Reporting;Approvisionnement & stockage – ;Planifier, réceptionner et stocker matériaux selon fiches techniques.;lot;2,1;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
FT01/CT02/SC03/T04;FT01;Pilotage & installations de chantier;Base vie, clôtures, sécurisation, approvisionnement;FT01/CT02;Coordination & suivi;FT01/CT02/SC03;Suivi de l'Avancement et Reporting;Mise en place / Pose – ;Exécuter la mise en œuvre conformément aux normes DTU/RE 2020.;lot;2,2;Auto-contrôle + PV + photos;DTU/RE2020, CCTP, notices fabricants
